Source Node	Target Node	Interaction Type
CDK5R1	CDK5	Undirected
RFC4	RAD17	Undirected
XPA	ERCC1	Undirected
TNIP1	NFKB1	Undirected
KCNQ1	TRAF6	Undirected
PDRG1	MAP3K3	Undirected
CASP9	APAF1	Undirected
HDAC3	GTF2I	Undirected
DPF2	RELB	Undirected
GADD45G	PCNA	Undirected
GADD45G	CDC2	Undirected
UBE2A	TP53	Undirected
UBE2A	MDM2	Undirected
PRDM2	RB1	Undirected
RB1	E2F2	Undirected
RB1	RBBP7	Undirected
RB1	JARID1A	Undirected
RB1	TAF1	Undirected
RB1	E2F1	Undirected
RB1	RBBP8	Undirected
RB1	E2F3	Undirected
RB1	ARID4A	Undirected
RB1	HDAC2	Undirected
RB1	ELF1	Undirected
RB1	Psmd10	Undirected
AP3B1	BUB1	Undirected
AP3B1	BUB1B	Undirected
BRCA2	RAD51	Undirected
BRCA2	TP53	Undirected
LCK	HSP90AA1	Undirected
LCK	CD5	Undirected
CD44	CD44	Undirected
NTRK2	Cdk5	Undirected
NTRK2	BDNF	Undirected
HLA-E	B2M	Undirected
CCR6	CCL20	Undirected
RUVBL2	MYC	Undirected
Bmi1	Bmi1	Undirected
Bmi1	Phc1	Undirected
Arnt	Ahr	Undirected
IKBKB	CHUK	Undirected
IKBKB	HSP90AA1	Undirected
GADD45B	CDC2	Undirected
IKBKG	IKBKB	Undirected
IKBKG	IKBKG	Undirected
IKBKG	NFKB2	Undirected
IKBKG	CHUK	Undirected
IKBKG	NFKB1	Undirected
IKBKG	MAP3K14	Undirected
IKBKG	TXLNA	Undirected
IKBKG	NFKBIB	Undirected
IKBKG	TBK1	Undirected
IKBKG	BCL10	Undirected
IKBKG	CCAR1	Undirected
FKBP5	CHUK	Undirected
FKBP5	MAP3K7	Undirected
FKBP5	IKBKE	Undirected
NFKB2	NFKBIA	Undirected
NFKB2	USP9X	Undirected
NFKB2	IKBKB	Undirected
NFKB2	NFKB2	Undirected
NFKB2	MAP3K8	Undirected
NFKB2	GLG1	Undirected
NFKB2	RELB	Undirected
NFKB2	MEN1	Undirected
NFKB2	RPL30	Undirected
NFKB2	NFKB1	Undirected
NFKB2	RELA	Undirected
NFKB2	MAP3K14	Undirected
NFKB2	FBXW7	Undirected
NFKB2	SEC16A	Undirected
PSMB5	TRAF6	Undirected
Cbx5	MKI67	Undirected
Traf2	TRADD	Undirected
Traf2	Traf2	Undirected
Traf2	TNFRSF1B	Undirected
Traf2	RIPK1	Undirected
ATP2B4	CALM2	Undirected
BACH1	BRCA1	Undirected
ATM	RPA2	Undirected
ATM	ABL1	Undirected
RPA1	RAD51	Undirected
RPA1	XPA	Undirected
RPA1	RPA4	Undirected
RPA1	RPA2	Undirected
RPA1	DMC1	Undirected
RPA1	PRKDC	Undirected
POLR2L	NFKBIB	Undirected
Egfr	Egf	Undirected
Stat3	Il10ra	Undirected
BMP4	BMP4	Undirected
GADD45A	PCNA	Undirected
GADD45A	CDAN1	Undirected
MAP3K8	NFKB2	Undirected
MAP3K8	RELA	Undirected
CDK5	CDK5	Undirected
SUMO1	UBE2I	Undirected
SUMO1	Rangap1	Undirected
Ywhaz	BRAF	Undirected
SMARCA4	RELB	Undirected
SMARCA4	PHB	Undirected
MST1	MST1R	Undirected
E2F4	HDAC1	Undirected
E2F4	RB1	Undirected
E2F4	RBL1	Undirected
E2F4	TFDP2	Undirected
TRRAP	MAX	Undirected
XRCC6	PRKDC	Undirected
Ccng1	Ppp2r5c	Undirected
Gnb4	GNGT1	Undirected
AR	CCND1	Undirected
AR	FLNA	Undirected
AR	UBE2I	Undirected
AR	CAV1	Undirected
AR	CDK7	Undirected
AR	TMF1	Undirected
AR	CCNH	Undirected
AR	RNF14	Undirected
AR	RUVBL1	Undirected
EPB41	ACTB	Undirected
Blm	UBE2I	Undirected
B2m	H2-D1	Undirected
B2m	Cd1d1	Undirected
MYCBP2	MYC	Undirected
Tbp	Mdm2	Undirected
BUB1	AP4B1	Undirected
BUB1	Ap2b1	Undirected
AKT1	STUB1	Undirected
AKT1	MDM2	Undirected
ZBTB16	NCOR2	Undirected
RELB	SMARCE1	Undirected
RELB	NFKB2	Undirected
RELB	SMARCC2	Undirected
RELB	KPNA6	Undirected
SF3B3	MYC	Undirected
LMO4	BRCA1	Undirected
LMO4	LDB2	Undirected
Trp53	TP53BP1	Undirected
Trp53	TP53BP2	Undirected
Trp53	Cdkn2a	Undirected
BCL2	BCL2L1	Undirected
BCL2	BCL2	Undirected
BCL2	BAG1	Undirected
BCL2	TP53	Undirected
COPB2	NFKB1	Undirected
Ppp2r5c	Ccng2	Undirected
PEX19	Cdkn2a	Undirected
YWHAQ	MAP3K3	Undirected
IL6ST	IL6	Undirected
IL6ST	TYK2	Undirected
IL6ST	Jak2	Undirected
IL6ST	IL6ST	Undirected
FLT4	VEGFC	Undirected
POLR2H	NFKBIB	Undirected
MEN1	RPA1	Undirected
MEN1	NFKB1	Undirected
MEN1	RELA	Undirected
MEN1	RPA2	Undirected
PFDN5	MYC	Undirected
CHEK1	CDC25B	Undirected
CHEK1	CDC25C	Undirected
PSMD13	TRAF6	Undirected
BAG1	AR	Undirected
Traf1	Traf2	Undirected
ATG16L1	IKBKG	Undirected
ING1	ING1	Undirected
CTNNA1	CTNNB1	Undirected
CTNNA1	LIMA1	Undirected
RAD52	RAD51	Undirected
RAD52	RPA1	Undirected
RAD52	RAD52	Undirected
NFKBIE	SKP1	Undirected
NFKBIE	REL	Undirected
NFKBIE	NFKB2	Undirected
NFKBIE	ANKRD28	Undirected
NFKBIE	NFKB1	Undirected
NFKBIE	RELA	Undirected
NFKBIE	PPP6C	Undirected
NFKBIE	SAPS2	Undirected
BUB1B	AP4B1	Undirected
BUB1B	AP1B1	Undirected
AKAP5	PRKCA	Undirected
FHL2	ITGA2	Undirected
FHL2	ITGA3	Undirected
FHL2	ITGA7	Undirected
MDM4	MDM4	Undirected
MDM4	TP53	Undirected
ESR1	PIAS1	Undirected
ESR1	Hmgb1	Undirected
ESR1	EP300	Undirected
ESR1	PIAS3	Undirected
ESR1	Ncoa2	Undirected
ESR1	NCOA2	Undirected
ESR1	ZBTB17	Undirected
ESR1	Pias2	Undirected
ESR1	Hmgb2	Undirected
ESR1	UBE3A	Undirected
