 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	MAN1A1         	KCNT2          	                  	Directed        	      	         	          	
 	IQSEC3         	MGAT5B         	                  	Directed        	      	         	          	
 	IQSEC3         	CPLX2          	                  	Directed        	      	         	          	
 	IQSEC3         	CBX6           	                  	Directed        	      	         	          	
 	IQSEC3         	CORO6          	                  	Directed        	      	         	          	
 	ANKRD22        	ANKRD22        	                  	Directed        	      	         	          	
 	LNP1           	LRRC20         	                  	Directed        	      	         	          	
 	hCT1829182.2   	ENST00000250621	                  	Directed        	      	         	          	
 	MTTP           	SERPINI2       	                  	Directed        	      	         	          	
 	SCN4B          	SCN1B          	                  	Directed        	      	         	          	
 	AK024106       	Contig20749_RC 	                  	Directed        	      	         	          	
 	AK024106       	AK022430       	                  	Directed        	      	         	          	
 	AK024106       	VCAN           	                  	Directed        	      	         	          	
 	AK024106       	PRSS16         	                  	Directed        	      	         	          	
 	C14orf2        	TMEM35         	                  	Directed        	      	         	          	
 	HSP90AB1       	HSP90AB6P      	                  	Directed        	      	         	          	
 	HSP90AB1       	LEPROT         	                  	Directed        	      	         	          	
 	HSP90AB1       	IPPK           	                  	Directed        	      	         	          	
 	AK092087       	AK091765       	                  	Directed        	      	         	          	
 	CPNE6          	KCNIP1         	                  	Directed        	      	         	          	
 	CPNE6          	Contig12648_RC 	                  	Directed        	      	         	          	
 	CPNE6          	DMGDH          	                  	Directed        	      	         	          	
 	CPNE6          	RP13-102H20.1  	                  	Directed        	      	         	          	
 	CPNE6          	ABAT           	                  	Directed        	      	         	          	
 	hCT13594.3     	TPT1           	                  	Directed        	      	         	          	
 	hCT13594.3     	EEF1A1         	                  	Directed        	      	         	          	
 	hCT13594.3     	HSG00353883    	                  	Directed        	      	         	          	
 	Contig43710_RC 	SRPX2          	                  	Directed        	      	         	          	
 	Contig43710_RC 	NID1           	                  	Directed        	      	         	          	
 	Contig43710_RC 	ALX3           	                  	Directed        	      	         	          	
 	GRIK1          	AK091058       	                  	Directed        	      	         	          	
 	GRIK1          	DLX1           	                  	Directed        	      	         	          	
 	GRIK1          	LUZP2          	                  	Directed        	      	         	          	
 	HSG00509309    	TUBA1A         	                  	Directed        	      	         	          	
 	SGIP1          	DPY19L2P3      	                  	Directed        	      	         	          	
 	SGIP1          	GALR1          	                  	Directed        	      	         	          	
 	SGIP1          	HSS00043876    	                  	Directed        	      	         	          	
 	HSS00137371    	C10orf107      	                  	Directed        	      	         	          	
 	HSS00137371    	NANOG          	                  	Directed        	      	         	          	
 	201229         	Contig41905_RC 	                  	Directed        	      	         	          	
 	KCNIP1         	C1orf95        	                  	Directed        	      	         	          	
 	PCSK2          	SLITRK3        	                  	Directed        	      	         	          	
 	AAK1           	AL157455       	                  	Directed        	      	         	          	
 	AAK1           	U52827         	                  	Directed        	      	         	          	
 	AAK1           	AK096580       	                  	Directed        	      	         	          	
 	AAK1           	AF075003       	                  	Directed        	      	         	          	
 	AAK1           	BX105660       	                  	Directed        	      	         	          	
 	AK096481       	CAMK2N1        	                  	Directed        	      	         	          	
 	AK096481       	HSS00031488    	                  	Directed        	      	         	          	
 	AK096481       	AL831861       	                  	Directed        	      	         	          	
 	IGFL2          	hCT1815701     	                  	Directed        	      	         	          	
 	C1orf95        	ARMC3          	                  	Directed        	      	         	          	
 	ACTG2          	CNN1           	                  	Directed        	      	         	          	
 	ACTG2          	COL4A2         	                  	Directed        	      	         	          	
 	PRSS12         	DEFA4          	                  	Directed        	      	         	          	
 	PRSS12         	NUDT10         	                  	Directed        	      	         	          	
 	PRSS12         	FNDC1          	                  	Directed        	      	         	          	
 	Contig23338_RC 	Contig31127_RC 	                  	Directed        	      	         	          	
 	MYH7B          	HSS00185615    	                  	Directed        	      	         	          	
 	MYH7B          	AK055324       	                  	Directed        	      	         	          	
 	MYH7B          	AK054822       	                  	Directed        	      	         	          	
 	23379          	XM_066522      	                  	Directed        	      	         	          	
 	23379          	AA082669       	                  	Directed        	      	         	          	
 	ADAM15         	METRN          	                  	Directed        	      	         	          	
 	ABHD10         	HSF2           	                  	Directed        	      	         	          	
 	ESAM           	TM4SF18        	                  	Directed        	      	         	          	
 	ESAM           	MMRN2          	                  	Directed        	      	         	          	
 	ESAM           	C20orf54       	                  	Directed        	      	         	          	
 	ESAM           	NXN            	                  	Directed        	      	         	          	
 	ESAM           	NOTCH3         	                  	Directed        	      	         	          	
 	OAS2           	ISG15          	                  	Directed        	      	         	          	
 	OAS2           	IFI44L         	                  	Directed        	      	         	          	
 	OAS2           	IFI27          	                  	Directed        	      	         	          	
 	HSS00087976    	DTX3L          	                  	Directed        	      	         	          	
 	HSS00087976    	54984          	                  	Directed        	      	         	          	
 	STMN3          	hCT1643217.3   	                  	Directed        	      	         	          	
 	STMN3          	ATP6V0E2       	                  	Directed        	      	         	          	
 	STMN3          	TCEAL2         	                  	Directed        	      	         	          	
 	TMEM16B        	hCT2286560     	                  	Directed        	      	         	          	
 	TMEM16B        	COLEC11        	                  	Directed        	      	         	          	
 	AK000176       	HSS00180999    	                  	Directed        	      	         	          	
 	HSS00018228    	HSS00366507    	                  	Directed        	      	         	          	
 	EXOC5          	P2RY12         	                  	Directed        	      	         	          	
 	EXOC5          	EDIL3          	                  	Directed        	      	         	          	
