Source Node	Target Node	Interaction Type
Rxra	Ncoa6	Undirected
Eif4ebp1	Eif4e	Undirected
Hspb6	Cryab	Undirected
Hspb6	Hspb1	Undirected
IL1RAPL1	IL1RAPL1	Undirected
Sry	Zfp748	Undirected
DNAJB1	HSPA8	Undirected
GRB14	GRB14	Undirected
GSTK1	GSTK1	Undirected
Tjp3	Gjc1	Undirected
DLAT	PDK3	Undirected
ARHGEF1	ARHGEF1	Undirected
Prkab1	Prkab1	Undirected
Fez1	25522	Undirected
RAB27B	RAB27B	Undirected
Trpc6	Nphs1	Undirected
Trpc6	Nphs2	Undirected
Parp2	POLB	Undirected
Parp2	PARP1	Undirected
Parp2	XRCC1	Undirected
SRM	SRM	Undirected
FCGR3A	IGHA2	Undirected
ZFYVE20	RAB4A	Undirected
PIGR	PIGR	Undirected
NAPG	RAB11FIP5	Undirected
NCOA3	RXRB	Undirected
NCOA3	THRB	Undirected
PCBP2	PCBP2	Undirected
PRKD2	PDLIM7	Undirected
PRKD2	HEY1	Undirected
PRKD2	RRBP1	Undirected
PRKD2	PTPN3	Undirected
PRKD2	MTF2	Undirected
PRKD2	GRIP1	Undirected
PRKD2	GORASP1	Undirected
PRKD2	SNRP70	Undirected
PRKD2	CASK	Undirected
PRKD2	RXRA	Undirected
PRKD2	DST	Undirected
PRKD2	RARB	Undirected
Rgma	Neo1	Undirected
KCTD13	PCNA	Undirected
KCTD13	POLD2	Undirected
Prmt1	Nfatc2ip	Undirected
Kcnj12	Lin7b	Undirected
Kcnj12	Lin7c	Undirected
RUNX1T1	CBFA2T2	Undirected
RUNX1T1	TCF12	Undirected
RUNX1T1	NCOR1	Undirected
RUNX1T1	HDAC1	Undirected
RUNX1T1	SIN3A	Undirected
RUNX1T1	HDAC3	Undirected
RUNX1T1	TCF3	Undirected
RUNX1T1	TCF4	Undirected
Pdlim5	Prkce	Undirected
CREB3L1	CREB3	Undirected
CREB3L1	CREB3L3	Undirected
CREB3L1	CREB3L1	Undirected
CREB3L1	NFIL3	Undirected
CREB3L1	NFE2	Undirected
CREB3L1	CREB3L4	Undirected
Arrb1	Nsf	Undirected
C14orf166	C14orf166	Undirected
C14orf166	NIN	Undirected
SIAH2	UBE2I	Undirected
SIAH2	DCC	Undirected
DCI	DCI	Undirected
Bex1	Omp	Undirected
Sycn	Stx1b	Undirected
Capn2	Tln1	Undirected
PTPN12	TEX10	Undirected
PTPN12	THAP2	Undirected
PTPN12	RBM19	Undirected
PTPN12	STX16	Undirected
PTPN12	ZFP2	Undirected
PTPN12	IFT20	Undirected
PTPN12	BAT3	Undirected
PTPN12	CGA	Undirected
PTPN12	UTRN	Undirected
PTPN12	TMEM90A	Undirected
Casp8ap2	CASP8	Undirected
Casp8ap2	FAS	Undirected
Rarb	Rarb	Undirected
Rarb	Rxra	Undirected
LMNA	LMNB1	Undirected
LMNA	LMNA	Undirected
Akap9	Tsnax	Undirected
Adra2a	Ppp1r9b	Undirected
Adra2a	25238	Undirected
Hnrnpa2b1	Tnf	Undirected
Taf1b	Tbp	Undirected
Sv2a	Syt1	Undirected
Bap1	BRCA1	Undirected
Hif3a	AHR	Undirected
Frap1	Ubqln1	Undirected
GALE	GALE	Undirected
Alb	Cubn	Undirected
TRAF4	NP_008994	Undirected
TRAF4	UBE2I	Undirected
TRAF4	TARBP2	Undirected
TRAF4	BCKDK	Undirected
TRAF4	MAGED1	Undirected
TRAF4	PXDN	Undirected
TRAF4	SORBS2	Undirected
TRAF4	ACTN1	Undirected
TRAF4	TGFB1I1	Undirected
TRAF4	PLSCR1	Undirected
TRAF4	CCHCR1	Undirected
Skap2	Skap2	Undirected
PDE4B	PDE4B	Undirected
POP5	RPP14	Undirected
PAPSS2	PAPSS2	Undirected
NOL8	RRAGA	Undirected
NOL8	NIP7	Undirected
NOL8	RRAGC	Undirected
Gsta2	Gsta2	Undirected
Zfp661	Trim28	Undirected
LPHN1	SHANK1	Undirected
RUNX3	TLE1	Undirected
AXL	GAS6	Undirected
NR3C2	NR3C2	Undirected
Cacng2	Mtap1a	Undirected
Vps4b	Chmp2a	Undirected
Vps4b	Vta1	Undirected
Axin2	Gsk3b	Undirected
Axin2	Ctnnb1	Undirected
Nrxn3	Nlgn3	Undirected
Nrxn3	Nlgn2	Undirected
Nrxn3	Nlgn1	Undirected
XBP1	XBP1	Undirected
GGA3	RPS27A	Undirected
ADH1A	ADH1A	Undirected
FECH	FECH	Undirected
AKAP13	NME2	Undirected
TCF12	EP300	Undirected
TCF12	CREBBP	Undirected
LXN	CPA4	Undirected
HSD17B11	HSD17B11	Undirected
Gsta1	Gsta1	Undirected
LRBA	LRBA	Undirected
Wbp2	Nedd4	Undirected
Hist3h2ba	Hist2h4	Undirected
Pnkp	Pnkp	Undirected
NUP98	NUP98	Undirected
SMAD9	ASB2	Undirected
SMAD9	VCPIP1	Undirected
SMAD9	AFF1	Undirected
SMAD9	EXPH5	Undirected
SMAD9	MLL2	Undirected
SMAD9	PHKA2	Undirected
SMAD9	MGAT1	Undirected
SMAD9	CYP11A1	Undirected
SMAD9	SPTBN1	Undirected
SMAD9	AP2A1	Undirected
SMAD9	ABTB1	Undirected
SMAD9	PAPPA	Undirected
SMAD9	PIR	Undirected
SMAD9	METAP1	Undirected
SMAD9	RRBP1	Undirected
SMAD9	TRIM29	Undirected
SMAD9	EVC2	Undirected
SMAD9	CAMSAP1	Undirected
SMAD9	DKK1	Undirected
SMAD9	UBQLN1	Undirected
SMAD9	DIAPH3	Undirected
SMAD9	UTX	Undirected
SMAD9	ZNF83	Undirected
SMAD9	FTL	Undirected
SMAD9	DNAJA3	Undirected
SMAD9	CXXC5	Undirected
SMAD9	UNC45A	Undirected
SMAD9	CTR9	Undirected
SMAD9	UBA6	Undirected
SMAD9	VPS8	Undirected
SMAD9	UBQLN4	Undirected
SMAD9	PELP1	Undirected
SMAD9	EIF3E	Undirected
SMAD9	LEMD3	Undirected
SMAD9	RNF123	Undirected
SMAD9	PSMD8	Undirected
SMAD9	PNPLA2	Undirected
SMAD9	SIL1	Undirected
SMAD9	KIAA0372	Undirected
SMAD9	PPARD	Undirected
SMAD9	ZNF592	Undirected
SMAD9	SVEP1	Undirected
SMAD9	PPP2R5E	Undirected
SMAD9	ZEB2	Undirected
SMAD9	PLEC1	Undirected
SMAD9	RANBP9	Undirected
SMAD9	NAGK	Undirected
SMAD9	ZNF587	Undirected
SMAD9	LRP5	Undirected
SMAD9	CLPB	Undirected
SMAD9	SNRP70	Undirected
SMAD9	CEP135	Undirected
SMAD9	ARNT	Undirected
SMAD9	MCM3AP	Undirected
SMAD9	TMEM57	Undirected
